year,CusPct,did,Industry,Lev,HighTech_1,quality,Size,ROA,Age,amount,Emply,hfd5,ln_Cus,IndustryLernerIndex,upstream,treated,policy,_quality,_amount,_did,lnlab,light,ind_str,sc,GTFP,SpatialDistance,GIE,did_2,iv,id,t_amount,t_quality,t_GIE
2009,1.49,0,K70,1.431482,0,0,22.7073,0.0508165,3.044523,0,5.521461,0.038027,17.13067,0.282605,0,1,2010,0,0,0,6.27962,46.446888,253.15,0,0.80254987,6.597865,0,1,7.320304,1,0,0,0
2009,4.31,0,E47,1.412369,0,0,20.79579,0.0238408,3.258096,0,7.009409,0.139056,17.33125,0.086362,0,1,2012,0,0,0,6.27962,46.446888,253.15,0,0.8111184,7.673726,0,0,7.320304,2,0,0,0
2009,8.22,0,S90,1.468482,0,0,20.23141,0.0132517,2.833213,0,6.577861,0.438563,17.387,0.113533,0,1,2010,0,0,0,6.27962,46.446888,253.15,0,0.8054112,,0,1,7.320304,3,0,0,0
2009,94.15,0,D44,2.076839,0,0,24.13276,0.077726,2.833213,0,4.919981,0.414566,23.0956,0.155682,1,1,2012,0,0,0,6.27962,46.446888,253.15,0,0.78802667,103.51417,0,0,7.320304,4,0,0,0
2008,3.09,0,C27,1.213988,1,0,22.02726,0.0493028,2.772589,0,8.334231,0.155998,19.36448,0.099114,0,1,2017,0,0,0,6.208089,48.335049,250.97,0,0.76000213,2292.5987,0,0,7.276974,5,0,0,0
2009,2.3,0,C27,1.201621,1,0,22.37834,0.0444655,2.833213,0,8.174703,0.148999,19.34557,0.112432,0,1,2017,0,0,0,6.27962,46.446888,253.15,0,0.80751467,2292.5987,0,0,7.320304,5,0,0,0
2013,28.64,0,C41,2.484036,1,0,22.68482,0.1654893,3.044523,0,8.759512,0.129844,21.12712,0.047788,1,0,,0,0,0,5.503839,5.7197025,233.58,1,0.896632,1.808071,0,0,7.602555,6,0,0,0
2014,27.57,0,C36,2.898161,1,0.32,22.70718,0.0935113,3.091043,0,8.755265,0.112917,21.04632,0.046885,1,0,,0.8,0,0,5.477602,4.8476433,234.91,1,0.92555253,1.808071,0,0,7.50832,6,0,0,0
2015,26.06,0,C36,2.907927,1,0,22.81332,0.0683679,3.135494,0,8.865029,0.113353,20.8444,0.045423,0,0,,0,0,0,5.716259,6.0454766,237.5,1,0.96725067,1.808071,0,0,7.625839,6,0,0,0
2017,29.88,0,C36,2.56548,1,0,23.06164,0.08426,3.218876,0,8.849084,0.113683,21.48839,0.051016,0,0,,0,0,0,5.622851,8.8932007,241.22,1,1.0061928,1.808071,0,0,7.709392,6,0,0,0
2018,24.91,0,C36,2.565126,1,0.4444444,23.18133,0.079257,3.258096,0,8.930627,0.121794,21.39442,0.062756,1,0,,0.6666666,0,0,5.587102,7.1512248,242.64,1,1.0570181,1.808071,0,0,7.694331,6,0,0,0
