stkcd,year,city,DEPTH,EXTEND,DIG,DID,policy1,policy2,CRE,IA,UD,RES_TOPSIS,FAG,LE,OPEN,GOV,DIS,DEVELOP,ADAPT,RECOVER,RESIS,RES,AGE,PROFIT,BOARD,TOP5,RD,SIZE,SDS,CSP,CSC,instrument1,instrument2,IPP,AGE2,DIDtime
1,2015,1,0.3000318,0.03,0,0,0,0,-0.12,0.02,0.1934,0.385259,1.81,7.6285704,8.18017,0.25,,0.2832615,0.3191971,0.3420096,0.3364345,0.4049838,23,1.9,7,0.41,7.24,22,1,,,85,17,1,529,0
1,2016,1,0.2557999,0.03,0,0,1,0,-0.15,0.02,0.3904,0.3952343,1.75,7.2859489,8.21101,0.25,,0.3266268,0.3262161,0.3097912,0.3563835,0.3870086,24,5.31,7,0.27,7.29,22.83,1,,,60,12,1,576,0
1,2017,1,0.3046367,0.22,0,0,1,0,-0.18,0.02,0.4005,0.4122972,1.72,7.1400175,8.54007,0.24,,0.3745058,0.2632762,0.3041829,0.3865117,0.3942544,25,8.9,7,0.25,8.82,23.09,0,,,45,9,1,625,0
1,2018,1,0.2999299,0.02,1,0,1,0,-0.23,0.02,0.4341,0.4195532,1.65,7.1907762,8.35498,0.25,,0.4003061,0.2459733,0.343974,0.3816692,0.391386,26,3.42,9,0.28,9.47,23.07,1,,,35,7,1,676,0
1,2019,1,0.2431382,0.02,1,0,1,0,-0.24,0.02,0.4607,0.423658,1.69,8.2630546,8.27785,0.21,,0.399512,0.2906367,0.3384063,0.3644523,0.3748032,27,4.57,9,0.38,8.39,23.21,1,,,60,12,1,729,0
1,2020,1,0.2936508,0.23,1,0,1,0,-0.2,0.03,0.4574,0.4264991,1.89,8.5485726,8.34469,0.2,,0.3904004,0.3303575,0.4322486,0.3930748,0.318918,28,-8.92,9,0.41,13.64,23.27,1,,,120,24,1,784,0
1,2021,1,0.3528655,0.33,1,0,1,0,-0.14,0.02,0.4549,0.42598,2.11,8.8404353,8.41153,0.18,,0.4134755,0.3090795,0.4589244,0.395234,0.3162903,29,-9.52,9,0.42,11.46,23.24,1,,,180,36,1,841,0
1,2022,1,0.2863463,0.24,1,0,1,0,-0.13,0.06,0.4526,0.4257249,2.23,9.214781,8.46295,0.18,,0.3887439,0.2999738,0.4186967,0.4003833,0.3347017,30,-8.47,9,0.41,12.69,23.14,1,,,150,30,1,900,0
2,2012,1,0.1196549,0.2,0,0,0,0,0.01,0.03,0.0738,0.3654676,1.51,6.8418099,7.93851,0.21,7.153173,0.4229728,0.3423797,0.3643695,0.4146226,0.3050429,17,0.04,11,0.38,3.4,19.84,1,1,1,45,9,0,289,0
2,2014,1,0.1755856,0.1,0,0,0,0,0.01,0.01,0.4868,0.3756674,1.84,7.7427775,7.98479,0.21,7.243386,0.4523221,0.336068,0.5037608,0.2807535,0.3392417,19,-0.75,10,0.46,0.3,20.51,0,1,1,25,5,0,361,0
3,2010,152,0.2057242,0.04,0,0,0,0,0.05,0.03,0.1508,0.2874869,1.19,4.8114602,7.65059,0.13,7.243386,0.4254679,0.4254848,0.3121651,0.3291257,0.3129723,18,15.97,9,0.22,2.02,23.25,1,1,1,16,0,0,324,0
3,2011,152,0.2171764,0.04,0,0,0,0,0.05,0.06,0.1558,0.3383228,1.38,4.8304948,7.66087,0.14,7.243386,0.4215945,0.3889276,0.3308371,0.3357853,0.3208019,19,13.38,9,0.25,2.16,23.45,1,1,1,10,0,0,361,0
3,2012,152,0.2283467,0.04,0,0,0,0,0.06,0.06,0.161,0.3656689,1.31,5.4078754,7.71743,0.12,7.243386,0.4577036,0.3807464,0.3655308,0.3325886,0.3099295,20,3.7,9,0.24,2.31,23.39,1,1,1,28,0,1,400,0
3,2013,152,0.1982235,0.06,0,0,0,0,0.04,0.06,0.1812,0.3712284,0.78,5.4776687,7.73285,0.12,7.243386,0.4328228,0.3843067,0.2868705,0.3394282,0.3290499,21,16.21,9,0.24,2.47,23.44,1,1,1,26,0,1,441,0
3,2014,152,0.1461564,0.05,0,0,0,0,0.03,0.06,0.1716,0.3744673,0.65,7.2478798,7.75856,0.14,7.243386,0.4556814,0.380951,0.2687125,0.3622091,0.3240172,22,8.54,9,0.26,2.95,23.45,1,1,1,26,0,1,484,0
3,2015,152,0.1551372,0.03,0,0,0,0,0,0.05,0.1743,0.3857939,0.64,7.2605695,7.82026,0.2,7.243386,0.4513969,0.3290451,0.3755409,0.3672293,0.32119,23,5.48,5,0.3,3.23,23.47,1,1,1,44,0,1,529,0
3,2016,152,0.1639712,0.04,0,0,1,0,0.01,0.06,0.1746,0.3949634,0.62,7.0321552,7.87167,0.22,7.243386,0.4262347,0.310892,0.3487951,0.3611867,0.3502776,24,8.04,7,0.39,3.81,23.57,1,1,1,48,0,1,576,0
3,2017,152,0.162017,0.02,0,0,1,0,0.02,0.05,0.1819,0.4127705,0.54,7.0258103,7.92823,0.2,7.243386,0.4279866,0.3008062,0.3835607,0.3516345,0.358548,25,8.29,9,0.39,3.38,23.7,1,1,1,52,0,1,625,0
3,2018,152,0.1328187,0.04,1,0,1,0,0.01,0.05,0.2062,0.4206754,0.91,7.2351901,7.9745,0.18,7.243386,0.4440742,0.2959377,0.3933811,0.3590918,0.354211,26,4.72,8,0.39,3.6,23.67,1,1,1,50,0,1,676,0
3,2019,152,0.1154341,0.03,1,0,1,0,0.03,0.06,0.2161,0.4235816,1,8.5929865,7.96936,0.17,7.243386,0.4410568,0.2972095,0.3827225,0.3592649,0.3543419,27,5.6,8,0.39,4.21,23.62,1,1,1,56,0,1,729,0
3,2020,152,0,0,1,0,1,0,0.02,0.06,0.2273,0.4260496,1.12,9.1894017,8.00535,0.15,7.243386,0.4428156,0.3054795,0.3697591,0.3464898,0.3578194,28,8.12,9,0.37,4.07,23.61,1,1,1,66,0,1,784,0
3,2021,152,0,0,1,0,1,0,0.05,0.06,0.2273,0.4260544,1.31,9.8302308,8.04134,0.15,7.243386,0.4266011,0.3095147,0.3479881,0.3384175,0.3684323,29,15.61,9,0.37,4.04,23.72,1,1,1,32,0,1,841,0
