target_word,phase,rank,neighbor,similarity
评价,高质量期_2023-2026,1,分类,0.11
评价,高质量期_2023-2026,2,赋能,0.054
评价,高质量期_2023-2026,3,多元,0.051
评价,高质量期_2023-2026,4,创新,0.04
评价,高质量期_2023-2026,5,选择,-0.002
评价,高质量期_2023-2026,6,激励,-0.007
评价,高质量期_2023-2026,7,自主,-0.052
评价,高质量期_2023-2026,8,弹性,-0.101
能力,试点期_2014-2019,1,培养,0.093
能力,试点期_2014-2019,2,职业,0.026
能力,试点期_2014-2019,3,考核,0.006
能力,试点期_2014-2019,4,合作,-0.003
能力,试点期_2014-2019,5,企业,-0.076
能力,试点期_2014-2019,6,合格,-0.109
创新,高质量期_2023-2026,1,多元,0.196
创新,高质量期_2023-2026,2,弹性,0.095
创新,高质量期_2023-2026,3,评价,0.04
创新,高质量期_2023-2026,4,选择,0.032
创新,高质量期_2023-2026,5,能动,0.004
创新,高质量期_2023-2026,6,激励,-0.0
创新,高质量期_2023-2026,7,自主,-0.011
创新,高质量期_2023-2026,8,赋能,-0.017
